ID,Country,Capital,Population
179,Saint Martin,Marigot,38659
180,Slovakia,Bratislava,5458827
181,DR Congo,Kinshasa,108407721
182,Montenegro,Podgorica,621718
183,Gibraltar,Gibraltar,33691
184,Somalia,Mogadishu,15893219
185,Sri Lanka,Sri Jayawardenepura Kotte,21919000
186,Cyprus,Nicosia,1207361
187,Laos,Vientiane,7275556
188,Morocco,Rabat,36910558
189,Timor-Leste,Dili,1318442
190,Yemen,Sana'a,29825968
191,Falkland Islands,Stanley,2563
192,Equatorial Guinea,Malabo,1402985
193,Algeria,Algiers,44700000
194,Zambia,Lusaka,18383956
195,Serbia,Belgrade,6908224
196,Andorra,Andorra la Vella,77265
197,São Tomé and Príncipe,São Tomé,219161
198,Djibouti,Djibouti,988002
199,Bulgaria,Sofia,6927288
200,United States Virgin Islands,Charlotte Amalie,106290
201,Argentina,Buenos Aires,45376763
202,Nigeria,Abuja,206139587
203,Rwanda,Kigali,12952209
204,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,53192
205,Canada,Ottawa,38005238
206,North Korea,Pyongyang,25778815
207,Åland Islands,Mariehamn,29458
208,North Macedonia,Skopje,2077132
209,Netherlands,Amsterdam,16655799
210,Niger,Niamey,24206636
211,Singapore,Singapore,5685807
212,Chad,N'Djamena,16425859
213,Curaçao,Willemstad,155014
214,Niue,Alofi,1470
215,Guinea-Bissau,Bissau,1967998
216,Nauru,Yaren,10834
217,Zimbabwe,Harare,14862927
218,China,Beijing,1402112000
219,Christmas Island,Flying Fish Cove,2072
220,Puerto Rico,San Juan,3194034
221,Ethiopia,Addis Ababa,114963583
222,Grenada,St. George's,112519
223,Finland,Helsinki,5530719
224,Turks and Caicos Islands,Cockburn Town,38718
225,Burundi,Gitega,11890781
226,Guam,Hagåtña,168783
227,Jordan,Amman,10203140
228,Mali,Bamako,20250834
229,Ukraine,Kyiv,44134693
230,Réunion,Saint-Denis,840974
231,Svalbard and Jan Mayen,Longyearbyen,2562
232,Cocos (Keeling) Islands,West Island,544
233,Tanzania,Dodoma,59734213
234,Qatar,Doha,2881060
235,Brazil,Brasília,212559409
236,Sudan,Khartoum,43849269
237,Romania,Bucharest,19286123
238,Anguilla,The Valley,13452
239,Iraq,Baghdad,40222503
240,Bhutan,Thimphu,771612
241,Honduras,Tegucigalpa,9904608
242,Namibia,Windhoek,2540916
243,Slovenia,Ljubljana,2100126
244,Haiti,Port-au-Prince,11402533
245,Bosnia and Herzegovina,Sarajevo,3280815
246,Greenland,Nuuk,56367
247,Jamaica,Kingston,2961161
248,Malta,Valletta,525285
249,Bolivia,Sucre,11673029
